complete_response	user_id	video_id	campaign_id	session_id	user_role	user_region	video_region	category	organic_category_rate	organic_category_count	organic_overall_rate	organic_overall_count	afinidad_exploratoria
0 1	string	string	string	string	discrete	Argentina Chile Colombia México Perú	discrete	discrete	continuous	continuous	continuous	continuous	continuous
class	meta	meta	meta	meta									
0	f909ad6d-bb1e-46ca-9c61-a750ddc2a1d4	0112dc0f-6d37-470d-b356-4ebdc5fa1e1e	bae635e3-970d-495b-997a-b6bf7691cfe8	web-160493d8-4d78-4411-8308-97d2491d83ce	viewer	México	Perú	emprendimiento	0.4	0.693147	0.586207	3.2581	0.455862
1	f909ad6d-bb1e-46ca-9c61-a750ddc2a1d4	0112dc0f-6d37-470d-b356-4ebdc5fa1e1e	bae635e3-970d-495b-997a-b6bf7691cfe8	web-160493d8-4d78-4411-8308-97d2491d83ce	viewer	México	Perú	emprendimiento	0.4	0.693147	0.586207	3.2581	0.455862
0	f909ad6d-bb1e-46ca-9c61-a750ddc2a1d4	0112dc0f-6d37-470d-b356-4ebdc5fa1e1e	bae635e3-970d-495b-997a-b6bf7691cfe8	web-160493d8-4d78-4411-8308-97d2491d83ce	viewer	México	Perú	emprendimiento	0.4	0.693147	0.586207	3.2581	0.455862
0	f909ad6d-bb1e-46ca-9c61-a750ddc2a1d4	0112dc0f-6d37-470d-b356-4ebdc5fa1e1e	bae635e3-970d-495b-997a-b6bf7691cfe8	web-04ca8c7d-d800-44a4-bcac-56532386096d	viewer	México	Perú	emprendimiento	0.4	0.693147	0.586207	3.2581	0.455862
0	f909ad6d-bb1e-46ca-9c61-a750ddc2a1d4	0112dc0f-6d37-470d-b356-4ebdc5fa1e1e	bae635e3-970d-495b-997a-b6bf7691cfe8	web-04ca8c7d-d800-44a4-bcac-56532386096d	viewer	México	Perú	emprendimiento	0.4	0.693147	0.586207	3.2581	0.455862
0	f909ad6d-bb1e-46ca-9c61-a750ddc2a1d4	0112dc0f-6d37-470d-b356-4ebdc5fa1e1e	bae635e3-970d-495b-997a-b6bf7691cfe8	web-36304ec2-d874-4686-ba85-611824a5a270	viewer	México	Perú	emprendimiento	0.4	0.693147	0.586207	3.2581	0.455862
0	f909ad6d-bb1e-46ca-9c61-a750ddc2a1d4	0112dc0f-6d37-470d-b356-4ebdc5fa1e1e	bae635e3-970d-495b-997a-b6bf7691cfe8	web-36304ec2-d874-4686-ba85-611824a5a270	viewer	México	Perú	emprendimiento	0.4	0.693147	0.586207	3.2581	0.455862
1	f909ad6d-bb1e-46ca-9c61-a750ddc2a1d4	0112dc0f-6d37-470d-b356-4ebdc5fa1e1e	bae635e3-970d-495b-997a-b6bf7691cfe8	web-5165304b-8719-4740-adcd-05920e176015	viewer	México	Perú	emprendimiento	0.4	0.693147	0.586207	3.2581	0.455862
1	f909ad6d-bb1e-46ca-9c61-a750ddc2a1d4	0112dc0f-6d37-470d-b356-4ebdc5fa1e1e	bae635e3-970d-495b-997a-b6bf7691cfe8	web-76d841db-678c-4d65-9eb5-c2a045447c45	viewer	México	Perú	emprendimiento	0.4	0.693147	0.586207	3.2581	0.455862
0	e3691e0c-f34d-4e39-a281-2b3b427e8a9d	0112dc0f-6d37-470d-b356-4ebdc5fa1e1e	bae635e3-970d-495b-997a-b6bf7691cfe8	web-6718e8ab-42b1-4e56-b658-5a3d7deae85e	viewer	Chile	Perú	emprendimiento	0.5	0	0.7	2.83321	0.56
0	6cd4c964-eba8-4fd3-9e59-47d095c3cab3	0112dc0f-6d37-470d-b356-4ebdc5fa1e1e	bae635e3-970d-495b-997a-b6bf7691cfe8	web-706a30d3-d407-4bae-8f4d-4c14702886ff	viewer	Perú	Perú	emprendimiento	0.285714	1.38629	0.588235	3.43399	0.376471
0	a9e1204a-7c4c-4915-9e5a-d732f0c1b9bb	0112dc0f-6d37-470d-b356-4ebdc5fa1e1e	bae635e3-970d-495b-997a-b6bf7691cfe8	web-baaa962b-83a5-4815-8d53-1ca54c205297	viewer	Colombia	Perú	emprendimiento	0.5	0	0.7	2.83321	0.56
0	ab5a3124-8111-4a59-9a71-24fc88834855	0112dc0f-6d37-470d-b356-4ebdc5fa1e1e	bae635e3-970d-495b-997a-b6bf7691cfe8	web-8d94097c-668c-499d-aa06-149482634ac0	viewer	México	Perú	emprendimiento	0.5	0	0.7	2.83321	0.56
0	e5c0c60f-4a1c-494f-bb7f-a7d3125216c2	0112dc0f-6d37-470d-b356-4ebdc5fa1e1e	bae635e3-970d-495b-997a-b6bf7691cfe8	web-1eddc27d-e65b-489b-a98a-3e6707834bd5	viewer	Chile	Perú	emprendimiento	0.5	0	0.5	2.83321	0.5
