complete_response	user_id	video_id	session_id	user_role	user_region	video_region	category	audio_id	tags	prior_category_rate	prior_category_count	prior_overall_rate	prior_overall_count	prior_region_rate	prior_region_count	duration_s	same_region
0 1	string	string	string	creator viewer	Argentina Chile Colombia México Perú	Argentina Chile Colombia México Perú	arte baile ciencia cine cocina comedia deporte emprendimiento historia idiomas manualidades musica naturaleza salud tecnologia	audio-arte-0 audio-arte-1 audio-arte-2 audio-baile-0 audio-baile-1 audio-baile-2 audio-ciencia-0 audio-ciencia-1 audio-ciencia-2 audio-cine-0 audio-cine-1 audio-cine-2 audio-cocina-0 audio-cocina-1 audio-cocina-2 audio-comedia-0 audio-comedia-1 audio-comedia-2 audio-deporte-0 audio-deporte-1 audio-deporte-2 audio-emprendimiento-0 audio-emprendimiento-1 audio-emprendimiento-2 audio-historia-0 audio-historia-1 audio-historia-2 audio-idiomas-0 audio-idiomas-1 audio-idiomas-2 audio-manualidades-0 audio-manualidades-1 audio-manualidades-2 audio-musica-0 audio-musica-1 audio-musica-2 audio-naturaleza-0 audio-naturaleza-1 audio-naturaleza-2 audio-salud-0 audio-salud-1 audio-salud-2 audio-tecnologia-0 audio-tecnologia-1 audio-tecnologia-2	arte|laboratorio|corto arte|laboratorio|corto|veta|argentina arte|laboratorio|corto|veta|chile arte|laboratorio|corto|veta|colombia arte|laboratorio|corto|veta|mexico arte|laboratorio|corto|veta|peru baile|laboratorio|corto baile|laboratorio|corto|veta|argentina baile|laboratorio|corto|veta|chile baile|laboratorio|corto|veta|colombia baile|laboratorio|corto|veta|mexico baile|laboratorio|corto|veta|peru ciencia|laboratorio|corto ciencia|laboratorio|corto|veta|argentina ciencia|laboratorio|corto|veta|chile ciencia|laboratorio|corto|veta|colombia ciencia|laboratorio|corto|veta|mexico ciencia|laboratorio|corto|veta|peru cine|laboratorio|corto cine|laboratorio|corto|veta|argentina cine|laboratorio|corto|veta|chile cine|laboratorio|corto|veta|colombia cine|laboratorio|corto|veta|mexico cine|laboratorio|corto|veta|peru cocina|laboratorio|corto cocina|laboratorio|corto|veta|argentina cocina|laboratorio|corto|veta|chile cocina|laboratorio|corto|veta|colombia cocina|laboratorio|corto|veta|mexico cocina|laboratorio|corto|veta|peru comedia|laboratorio|corto comedia|laboratorio|corto|veta|argentina comedia|laboratorio|corto|veta|chile comedia|laboratorio|corto|veta|colombia comedia|laboratorio|corto|veta|mexico comedia|laboratorio|corto|veta|peru deporte|laboratorio|corto deporte|laboratorio|corto|veta|argentina deporte|laboratorio|corto|veta|chile deporte|laboratorio|corto|veta|colombia deporte|laboratorio|corto|veta|mexico deporte|laboratorio|corto|veta|peru emprendimiento|laboratorio|corto emprendimiento|laboratorio|corto|veta|argentina emprendimiento|laboratorio|corto|veta|chile emprendimiento|laboratorio|corto|veta|colombia emprendimiento|laboratorio|corto|veta|mexico emprendimiento|laboratorio|corto|veta|peru historia|laboratorio|corto historia|laboratorio|corto|veta|argentina historia|laboratorio|corto|veta|chile historia|laboratorio|corto|veta|colombia historia|laboratorio|corto|veta|mexico historia|laboratorio|corto|veta|peru idiomas|laboratorio|corto idiomas|laboratorio|corto|veta|argentina idiomas|laboratorio|corto|veta|chile idiomas|laboratorio|corto|veta|colombia idiomas|laboratorio|corto|veta|mexico idiomas|laboratorio|corto|veta|peru manualidades|laboratorio|corto manualidades|laboratorio|corto|veta|argentina manualidades|laboratorio|corto|veta|chile manualidades|laboratorio|corto|veta|colombia manualidades|laboratorio|corto|veta|mexico manualidades|laboratorio|corto|veta|peru musica|laboratorio|corto musica|laboratorio|corto|veta|argentina musica|laboratorio|corto|veta|chile musica|laboratorio|corto|veta|colombia musica|laboratorio|corto|veta|mexico musica|laboratorio|corto|veta|peru naturaleza|laboratorio|corto naturaleza|laboratorio|corto|veta|argentina naturaleza|laboratorio|corto|veta|chile naturaleza|laboratorio|corto|veta|colombia naturaleza|laboratorio|corto|veta|mexico naturaleza|laboratorio|corto|veta|peru salud|laboratorio|corto salud|laboratorio|corto|veta|argentina salud|laboratorio|corto|veta|chile salud|laboratorio|corto|veta|colombia salud|laboratorio|corto|veta|mexico salud|laboratorio|corto|veta|peru tecnologia|laboratorio|corto tecnologia|laboratorio|corto|veta|argentina tecnologia|laboratorio|corto|veta|chile tecnologia|laboratorio|corto|veta|colombia tecnologia|laboratorio|corto|veta|mexico tecnologia|laboratorio|corto|veta|peru	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous
class	meta	meta	meta														
1	f909ad6d-bb1e-46ca-9c61-a750ddc2a1d4	550d2983-3598-4f94-bbdb-25e415547f5a	sim-f909ad6d-bb1e-46ca-9c61-a750ddc2a1d4-1	viewer	México	Colombia	naturaleza	audio-naturaleza-0	naturaleza|laboratorio|corto	0.5	0	0.5	2.70805	0.333333	1.09861	22.7	0
1	f909ad6d-bb1e-46ca-9c61-a750ddc2a1d4	5216fb56-1001-434b-bd10-8b8a2734d2b3	sim-f909ad6d-bb1e-46ca-9c61-a750ddc2a1d4-1	viewer	México	Argentina	manualidades	audio-manualidades-1	manualidades|laboratorio|corto	0.5	0	0.5	2.70805	0.5	1.09861	18.9	0
1	f909ad6d-bb1e-46ca-9c61-a750ddc2a1d4	b1e12eba-acc4-4ad1-976e-9f4db7ea1abb	sim-f909ad6d-bb1e-46ca-9c61-a750ddc2a1d4-1	viewer	México	Argentina	musica	audio-musica-1	musica|laboratorio|corto	0.5	0	0.5	2.70805	0.5	1.09861	15.3	0
1	f909ad6d-bb1e-46ca-9c61-a750ddc2a1d4	b620577e-57ee-43e3-8e1a-0490f4680265	sim-f909ad6d-bb1e-46ca-9c61-a750ddc2a1d4-1	viewer	México	Argentina	tecnologia	audio-tecnologia-1	tecnologia|laboratorio|corto	0.5	1.09861	0.5	2.70805	0.5	1.09861	17.3	0
0	f909ad6d-bb1e-46ca-9c61-a750ddc2a1d4	5216fb56-1001-434b-bd10-8b8a2734d2b3	sim-f909ad6d-bb1e-46ca-9c61-a750ddc2a1d4-1	viewer	México	Argentina	manualidades	audio-manualidades-1	manualidades|laboratorio|corto	0.5	0	0.5	2.70805	0.5	1.09861	18.9	0
0	f909ad6d-bb1e-46ca-9c61-a750ddc2a1d4	e985be2c-b0e3-43bb-84ae-6dae64aeceb4	sim-f909ad6d-bb1e-46ca-9c61-a750ddc2a1d4-1	viewer	México	Chile	cocina	audio-cocina-1	cocina|laboratorio|corto	0.5	0	0.5	2.70805	0.5	1.09861	15.7	0
0	f909ad6d-bb1e-46ca-9c61-a750ddc2a1d4	beb561d7-d6d1-4988-be04-70f2dadb8b91	sim-f909ad6d-bb1e-46ca-9c61-a750ddc2a1d4-1	viewer	México	México	deporte	audio-deporte-0	deporte|laboratorio|corto|veta|mexico	0.5	0	0.5	2.70805	0.636364	2.07944	15	1
0	f909ad6d-bb1e-46ca-9c61-a750ddc2a1d4	603c6ae0-a012-4978-9c26-9b3cc20bc3ee	sim-f909ad6d-bb1e-46ca-9c61-a750ddc2a1d4-1	viewer	México	Argentina	arte	audio-arte-0	arte|laboratorio|corto|veta|argentina	0.5	0	0.5	2.70805	0.5	1.09861	15	0
1	f909ad6d-bb1e-46ca-9c61-a750ddc2a1d4	63ae657b-409e-4c20-8c6c-b1a3e90647f2	sim-f909ad6d-bb1e-46ca-9c61-a750ddc2a1d4-1	viewer	México	México	musica	audio-musica-1	musica|laboratorio|corto|veta|mexico	0.5	0	0.5	2.70805	0.636364	2.07944	15	1
1	f909ad6d-bb1e-46ca-9c61-a750ddc2a1d4	638e4a6d-5a5c-4476-8980-093be0af0173	sim-f909ad6d-bb1e-46ca-9c61-a750ddc2a1d4-1	viewer	México	México	idiomas	audio-idiomas-0	idiomas|laboratorio|corto|veta|mexico	0.6	0.693147	0.5	2.70805	0.636364	2.07944	15	1
1	f909ad6d-bb1e-46ca-9c61-a750ddc2a1d4	5e13ab55-8e50-4b90-bae1-32bb7ad402a9	sim-f909ad6d-bb1e-46ca-9c61-a750ddc2a1d4-1	viewer	México	México	tecnologia	audio-tecnologia-0	tecnologia|laboratorio|corto|veta|mexico	0.5	1.09861	0.5	2.70805	0.636364	2.07944	15	1
0	f909ad6d-bb1e-46ca-9c61-a750ddc2a1d4	c4ba27c4-4e56-4510-8509-c4d6df44a5d4	sim-f909ad6d-bb1e-46ca-9c61-a750ddc2a1d4-2	viewer	México	México	emprendimiento	audio-emprendimiento-1	emprendimiento|laboratorio|corto|veta|mexico	0.428571	1.38629	0.551724	3.2581	0.666667	2.48491	15	1
0	f909ad6d-bb1e-46ca-9c61-a750ddc2a1d4	6305fa46-3b7e-44ea-89ae-428139b855fb	sim-f909ad6d-bb1e-46ca-9c61-a750ddc2a1d4-2	viewer	México	Perú	comedia	audio-comedia-1	comedia|laboratorio|corto|veta|peru	0.6	0.693147	0.551724	3.2581	0.4	0.693147	15	0
1	f909ad6d-bb1e-46ca-9c61-a750ddc2a1d4	64d963e5-a7f3-4ada-9c2e-298605b97c24	sim-f909ad6d-bb1e-46ca-9c61-a750ddc2a1d4-2	viewer	México	México	naturaleza	audio-naturaleza-1	naturaleza|laboratorio|corto|veta|mexico	0.6	0.693147	0.551724	3.2581	0.666667	2.48491	15	1
